"lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","v_97","v_137","v_84","v_85","v_86","v_87","v_88","v_89","v_121","v_122","v_123","v_100","v_101","v_102","v_103","v_104","v_105","v_106","v_107","v_108","v_51","v_52","v_56","v_57","v_64","v_65","dupl1_v_51","v_83","dupl1_v_52","v_63","dupl2_v_51","dupl2_v_52","dupl3_v_51","dupl3_v_52","v_70","dupl4_v_51","dupl4_v_52","v_73","dupl5_v_51","dupl5_v_52","dupl6_v_51","dupl6_v_52","dupl7_v_51","dupl7_v_52","v_81","v_82","v_124","v_125","v_126","v_127","v_128","v_129","v_130","v_131","v_132","v_133","v_134","v_135","v_136","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","quota_rejected_id","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","date_of_first_mail","rts6926544","rts6926545","rts6926546","rts6926547","rts6929711","rts6932242","v_120"
3,0,0,31,6926548,-77,460,1,1,2,1,2,2,2,3,1,4,1,1,2,3,2,2,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6926544,6926544,6926544,6926545,6926546,6926547,6929711,6926548",0,0,0,-77,-77,"480628673c2f0b16983a2f4518ac1455",1,0,1730291899,"2024-10-30 12:38:19","2024-10-30 12:45:59","0000-00-00 00:00:00",134,399,423,455,460,0,2115030116
4,0,0,31,6926548,-77,656,2,1,1,3,1,1,4,2,1,2,1,1,2,3,2,2,1,1,3,1,1,3,1,2,3,5,1,2,2,3,2,3,1,3,1,1,2,4,1,2,2,3,1,2,3,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0 Agency/91.8.4707.8","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6926544,6926545,6926545,6926545,6926546,6926547,6929711,6926547,6926547,6926547,6926547,6929711,6926548",1,1,0,-77,-77,"210ca6fb335c09be9cbb3f1ea5957661",1,0,1730291903,"2024-10-30 12:38:23","2024-10-30 12:49:19","0000-00-00 00:00:00",94,391,428,647,656,0,1716560185
5,0,0,31,6929731,-77,53,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6926544,6926545,6926546,6926547,6929711,6929731",1,0,0,-77,-77,"d9f127d8ad8a67fc53556ebfc5f02a20",1,0,1730293511,"2024-10-30 13:05:11","2024-10-30 13:06:04","0000-00-00 00:00:00",15,23,30,50,53,0,1494615641
6,0,0,31,6926548,-77,127,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,4,3,5,4,4,4,4,5,5,4,4,4,4,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0 Agency/91.8.4707.8","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6926544,6926545,6926546,6926547,6929711,6926548",1,0,0,-77,-77,"a9f4dcd6087e1e618f41a2a6da3a5559",1,0,1730293687,"2024-10-30 13:08:07","2024-10-30 13:10:14","0000-00-00 00:00:00",23,44,62,115,127,0,561363642
7,0,0,31,6926548,-77,327,3,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6926544,6926544,6926544,6926544,6926544,6926545,6926546,6926546,6926546,6926547,6929711,6926548",0,0,0,-77,-77,"ed383b5eb28de30196e96951a089aeb6",1,0,1730462583,"2024-11-01 12:03:03","2024-11-01 12:08:30","0000-00-00 00:00:00",124,168,207,300,327,0,1494615641
10,0,0,31,6926548,-77,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926544,6926544,6926545,6926546,6926547,6929711,6926548",1,1,0,-77,-77,"32872901d10dce09eac493f63f1b6f70",1,0,1730720384,"2024-11-04 11:39:44","2024-11-04 11:41:12","0000-00-00 00:00:00",32,42,50,84,88,5,1494615641
14,0,0,31,6926548,-77,497,1,1,3,4,4,1,5,4,2,1,2,4,4,4,4,2,5,1,4,2,5,5,5,5,5,5,4,4,4,4,4,4,4,3,2,3,4,2,3,2,4,2,3,4,4,3,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","https://elearning.ovgu.de/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926544,6926544,6926545,6926546,6926547,6929711,6926548",1,1,0,-77,-77,"34d42f4ea6cefab918154bb2c7ebafa1",1,0,1730978705,"2024-11-07 11:25:05","2024-11-07 11:33:22","0000-00-00 00:00:00",132,225,287,490,497,41,2609313167
29,0,0,31,6926548,-77,305,2,1,5,3,4,4,4,4,2,3,3,5,5,4,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,5,5,5,4,3,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","android-app://com.google.android.googlequicksearchbox/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926546,6926547,6929711,6926548",0,0,0,-77,-77,"8e1f5280f93a11e6af7e28163fb95a60",1,0,1730982641,"2024-11-07 12:30:41","2024-11-07 12:35:46","0000-00-00 00:00:00",61,154,188,295,305,13,1208184081
24,0,0,31,6926548,-77,531,1,1,3,4,4,3,4,4,3,3,2,4,5,2,4,4,4,4,4,3,4,4,4,5,5,4,4,5,4,4,1,1,4,2,2,3,3,3,3,3,3,3,4,4,4,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","android-app://com.google.android.googlequicksearchbox/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926546,6926547,6929711,6926548",0,0,0,-77,-77,"b00db44af3499c17acc87d49aa7f01c2",1,0,1730982604,"2024-11-07 12:30:04","2024-11-07 12:38:55","0000-00-00 00:00:00",73,180,259,516,531,18,1682791887
32,0,0,31,6926548,-77,529,1,1,2,4,2,3,4,2,2,2,2,4,4,2,3,3,3,3,4,3,3,4,4,4,4,3,3,2,3,3,4,4,4,2,3,4,4,2,4,3,3,4,4,3,4,3,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","https://elearning.ovgu.de/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926544,6926544,6926545,6926546,6926547,6929711,6926548",0,0,0,-77,-77,"eefb3f9062f1236ef67cf48b0d66b331",1,0,1730982678,"2024-11-07 12:31:18","2024-11-07 12:40:07","0000-00-00 00:00:00",100,174,236,522,529,42,984054412
